delete_reason,batch,Final label,Confidence,Keywords
Meninggal dunia.,batch : 1 of 48 row: 1,others,100%,"meninggal, dunia, wafat"
belum bisa komitmen,batch : 1 of 48 row: 2,others,80%,"belum, bisa, komitmen"
"Jarang sekali hadir , lebih dari 3 bulan tidak hadir",batch : 1 of 48 row: 3,tidak_ada_respon,90%,"jarang, hadir, tidak"
sudah menemukan DATE baru yg cocok,batch : 1 of 48 row: 4,alasan_DATE,100%,"date, baru, cocok"
date member meminta untuk off,batch : 1 of 48 row: 5,alasan_DATE,100%,"date, member, off"
Yudith kembali ke Sumatera Utara for good,batch : 1 of 48 row: 6,lokasi,100%,"kembali, sumatera, utara"
pindah ke Aussie,batch : 1 of 48 row: 7,lokasi,100%,"pindah, aussie, relokasi"
indikasi mencari keuntungan dgn cara tidak benar,batch : 1 of 48 row: 8,others,80%,"indikasi, mencari, keuntungan"
DM ybs pindah keluar kota (bali),batch : 1 of 48 row: 9,lokasi,100%,"pindah, kota, bali"
keluarga tidak mengijinkan ke Kristen,batch : 1 of 48 row: 10,others,80%,"keluarga, tidak, mengijinkan"
"Mutasi Pekerjaan ke kota lain, dan tertanam di Gereja lain",batch : 2 of 48 row: 1,lokasi,90%,"mutasi, kota, lain"
"Katanya sudah tidak nyaman di date, pas saya tanyain tidak ada respon sama sekali lagi. Saya sendiri tidak tahu alasannya kenapa dia keluar dan ga nyaman",batch : 2 of 48 row: 2,alasan_DATE,80%,"tidak, nyaman, date"
anak dari DL,batch : 2 of 48 row: 3,others,50%,"anak, DL, tidak"
anak dari DL,batch : 2 of 48 row: 4,others,50%,"anak, DL, tidak"
Sinta pilih keluar Date karena marah ditegur DL tidak boleh pendekatan dg suami orang,batch : 2 of 48 row: 5,alasan_DATE,90%,"marah, DL, date"
DF hanya cover DATE sementara saja,batch : 2 of 48 row: 6,alasan_DATE,80%,"cover, DATE, sementara"
memilih tempat date lain untuk bertumbuh dan sudah hibernasi selama 9 bulan,batch : 2 of 48 row: 7,tertanam_di_gereja_lain,80%,"memilih, date, lain"
"beda musim jadinya gak pernah datang dan susah berkomunikasi, sudah coba berkomunikasi tapi tidak terlalu ada hasil",batch : 2 of 48 row: 8,perbedaan_musim_kehidupan,80%,"beda, musim, jadinya"
domisili luar kota,batch : 2 of 48 row: 9,lokasi,90%,"domisili, luar, kota"
Tidak ada pertumbuhan dan tidak ada relationship dengan DM lain,batch : 2 of 48 row: 10,alasan_DATE,80%,"tidak, pertumbuhan, date"
Tidak ada pertumbuhan dan tidak ada relationship dengan DM lain,batch : 3 of 48 row: 1,alasan_DATE,80%,"DM, relationship, DATE"
"Amggie memutuskan utk fokus bekerja skrg krn byk business trip jg ke luar kota, jd gak bisa DATE dl",batch : 3 of 48 row: 2,lokasi,90%,"luar kota, business trip, bekerja"
pindah date area lokasi tapi gak bisa ditrasfer jadinya delete dulu biar DL nya bisa add sendiri,batch : 3 of 48 row: 3,lokasi,95%,"pindah, lokasi, delete"
mengundurkan diri,batch : 3 of 48 row: 4,others,50%,"mengundurkan, diri"
"jarang beribadah di JPCC namun beribadah di gereja lain, dan jadwal DATE sering terbentur dgn pekerjaan.",batch : 3 of 48 row: 5,tertanam_di_gereja_lain,85%,"gereja lain, jarang beribadah, JPCC"
"jarang beribadah di JPCC dan jarang hadir dalam DATE, namun beribadah di gereja lain atas permintaan orang tua.",batch : 3 of 48 row: 6,tertanam_di_gereja_lain,80%,"gereja lain, jarang hadir, orang tua"
Pindah ke Date yang lain,batch : 3 of 48 row: 7,alasan_DATE,90%,"Pindah, Date lain"
Pindah ke Date yang lain,batch : 3 of 48 row: 8,alasan_DATE,90%,"Pindah, Date lain"
Pindah ke luar kota (Magelang).,batch : 3 of 48 row: 9,lokasi,95%,"Pindah, luar kota, Magelang"
"baru putus, then felt lost. Uda dikasih kesempatan tetap join di DATE tp menolak.",batch : 3 of 48 row: 10,perbedaan_musim_kehidupan,80%,"baru putus, felt lost, menolak"
double data,batch : 4 of 48 row: 1,Admin,90%,"double, data, error"
DM pindah ke luar negeri for good,batch : 4 of 48 row: 2,lokasi,100%,"pindah, luar, negeri"
pindah kota,batch : 4 of 48 row: 3,lokasi,100%,"pindah, kota"
seharusnya Masih probation tapi Salah accept,batch : 4 of 48 row: 4,Admin,100%,"probation, Salah, accept"
Sudah pulang ke Rumah Bapa.,batch : 4 of 48 row: 5,others,80%,"pulang, Rumah, Bapa"
Pindah ke date yang online/hybrid,batch : 4 of 48 row: 6,alasan_DATE,90%,"pindah, date, online"
pindah ke date yang online/hybrid,batch : 4 of 48 row: 7,alasan_DATE,90%,"pindah, date, online"
"mau cari date yg online, tapi mau cari sendiri",batch : 4 of 48 row: 8,alasan_DATE,80%,"cari, date, online"
"Kak Ine berpindah tugas di Kupang untuk beberapa tahun ke depan dan belum ada kepastian kapan waktunya. sehingga telah disepakati antara DM,DL dan DF untuk mendoakan ybs untuk tertanam di gereja lokal lain di sana. Thank you",batch : 4 of 48 row: 9,lokasi,100%,"pindah, tugas, Kupang"
