delete_reason,batch,Final label,Confidence,Keywords
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 1,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 2,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 3,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 4,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 5,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 6,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 7,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 8,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 9,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 10,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 1,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 2,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 3,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 4,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 5,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 6,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 7,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 8,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 9,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 10,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 3 of 25 row: 1,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 3 of 25 row: 2,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 3 of 25 row: 3,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 3 of 25 row: 4,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 3 of 25 row: 5,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 3 of 25 row: 6,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 3 of 25 row: 7,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 3 of 25 row: 8,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 3 of 25 row: 9,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 3 of 25 row: 10,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 4 of 25 row: 1,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 4 of 25 row: 2,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 4 of 25 row: 3,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 4 of 25 row: 4,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 4 of 25 row: 5,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 4 of 25 row: 6,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 4 of 25 row: 7,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 4 of 25 row: 8,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 4 of 25 row: 9,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 4 of 25 row: 10,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 5 of 25 row: 1,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 5 of 25 row: 2,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 5 of 25 row: 3,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 5 of 25 row: 4,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 5 of 25 row: 5,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 5 of 25 row: 6,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 5 of 25 row: 7,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 5 of 25 row: 8,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 5 of 25 row: 9,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 5 of 25 row: 10,waktu_tidak_sesuai,96%,"lokasi, waktu, sesuai"
saya sudah tidak menjadi DL lagi,batch : 6 of 25 row: 1,others,92%,"tidak DL, alasan tidak ada, ambigu"
saya sudah tidak menjadi DL lagi,batch : 6 of 25 row: 2,others,92%,"tidak DL, alasan tidak ada, ambigu"
saya sudah tidak menjadi DL lagi,batch : 6 of 25 row: 3,others,92%,"tidak DL, alasan tidak ada, ambigu"
saya sudah tidak menjadi DL lagi,batch : 6 of 25 row: 4,others,92%,"tidak DL, alasan tidak ada, ambigu"
saya sudah tidak menjadi DL lagi,batch : 6 of 25 row: 5,others,92%,"tidak DL, alasan tidak ada, ambigu"
saya sudah tidak menjadi DL lagi,batch : 6 of 25 row: 6,others,92%,"tidak DL, alasan tidak ada, ambigu"
saya sudah tidak menjadi DL lagi,batch : 6 of 25 row: 7,others,92%,"tidak DL, alasan tidak ada, ambigu"
saya sudah tidak menjadi DL lagi,batch : 6 of 25 row: 8,others,92%,"tidak DL, alasan tidak ada, ambigu"
saya sudah tidak menjadi DL lagi,batch : 6 of 25 row: 9,others,92%,"tidak DL, alasan tidak ada, ambigu"
saya sudah tidak menjadi DL lagi,batch : 6 of 25 row: 10,others,92%,"tidak DL, alasan tidak ada, ambigu"
saya sudah tidak menjadi DL lagi,batch : 7 of 25 row: 1,others,92%,"tidak jadi DL, tidak jelas, status"
saya sudah tidak menjadi DL lagi,batch : 7 of 25 row: 2,others,92%,"tidak jadi DL, tidak jelas, status"
saya sudah tidak menjadi DL lagi,batch : 7 of 25 row: 3,others,92%,"tidak jadi DL, tidak jelas, status"
saya sudah tidak menjadi DL lagi,batch : 7 of 25 row: 4,others,92%,"tidak jadi DL, tidak jelas, status"
saya sudah tidak menjadi DL lagi,batch : 7 of 25 row: 5,others,92%,"tidak jadi DL, tidak jelas, status"
saya sudah tidak menjadi DL lagi,batch : 7 of 25 row: 6,others,92%,"tidak jadi DL, tidak jelas, status"
saya sudah tidak menjadi DL lagi,batch : 7 of 25 row: 7,others,92%,"tidak jadi DL, tidak jelas, status"
saya sudah tidak menjadi DL lagi,batch : 7 of 25 row: 8,others,92%,"tidak jadi DL, tidak jelas, status"
saya sudah tidak menjadi DL lagi,batch : 7 of 25 row: 9,others,92%,"tidak jadi DL, tidak jelas, status"
saya sudah tidak menjadi DL lagi,batch : 7 of 25 row: 10,others,92%,"tidak jadi DL, tidak jelas, status"
saya sudah tidak menjadi DL lagi,batch : 8 of 25 row: 1,others,92%,"tidak DL, status, ambigu"
saya sudah tidak menjadi DL lagi,batch : 8 of 25 row: 2,others,92%,"tidak DL, status, ambigu"
saya sudah tidak menjadi DL lagi,batch : 8 of 25 row: 3,others,92%,"tidak DL, status, ambigu"
saya sudah tidak menjadi DL lagi,batch : 8 of 25 row: 4,others,92%,"tidak DL, status, ambigu"
saya sudah tidak menjadi DL lagi,batch : 8 of 25 row: 5,others,92%,"tidak DL, status, ambigu"
saya sudah tidak menjadi DL lagi,batch : 8 of 25 row: 6,others,92%,"tidak DL, status, ambigu"
saya sudah tidak menjadi DL lagi,batch : 8 of 25 row: 7,others,92%,"tidak DL, status, ambigu"
saya sudah tidak menjadi DL lagi,batch : 8 of 25 row: 8,others,92%,"tidak DL, status, ambigu"
saya sudah tidak menjadi DL lagi,batch : 8 of 25 row: 9,others,92%,"tidak DL, status, ambigu"
saya sudah tidak menjadi DL lagi,batch : 8 of 25 row: 10,others,92%,"tidak DL, status, ambigu"
saya sudah tidak menjadi DL lagi,batch : 9 of 25 row: 1,others,96%,"tidak DL, status, jelas"
saya sudah tidak menjadi DL lagi,batch : 9 of 25 row: 2,others,96%,"tidak DL, status, jelas"
saya sudah tidak menjadi DL lagi,batch : 9 of 25 row: 3,others,96%,"tidak DL, status, jelas"
saya sudah tidak menjadi DL lagi,batch : 9 of 25 row: 4,others,96%,"tidak DL, status, jelas"
saya sudah tidak menjadi DL lagi,batch : 9 of 25 row: 5,others,96%,"tidak DL, status, jelas"
saya sudah tidak menjadi DL lagi,batch : 9 of 25 row: 6,others,96%,"tidak DL, status, jelas"
saya sudah tidak menjadi DL lagi,batch : 9 of 25 row: 7,others,96%,"tidak DL, status, jelas"
saya sudah tidak menjadi DL lagi,batch : 9 of 25 row: 8,others,96%,"tidak DL, status, jelas"
saya sudah tidak menjadi DL lagi,batch : 9 of 25 row: 9,others,96%,"tidak DL, status, jelas"
saya sudah tidak menjadi DL lagi,batch : 9 of 25 row: 10,others,96%,"tidak DL, status, jelas"
