delete_reason,batch,Final label,Confidence,Keywords
Meninggal dunia.,batch : 1 of 48 row: 1,others,95%,"meninggal, wafat, deceased"
belum bisa komitmen,batch : 1 of 48 row: 2,perbedaan_musim_kehidupan,75%,"komitmen, fase hidup, belum siap"
"Jarang sekali hadir , lebih dari 3 bulan tidak hadir",batch : 1 of 48 row: 3,tidak_ada_respon,90%,"jarang hadir, 3 bulan, missing"
sudah menemukan DATE baru yg cocok,batch : 1 of 48 row: 4,tertanam_di_gereja_lain,85%,"DATE baru, pindah, cocok"
date member meminta untuk off,batch : 1 of 48 row: 5,alasan_DATE,80%,"DATE member, off, leader request"
Yudith kembali ke Sumatera Utara for good,batch : 1 of 48 row: 6,lokasi,95%,"Sumatera Utara, pindah, relokasi"
pindah ke Aussie,batch : 1 of 48 row: 7,lokasi,95%,"Aussie, pindah, luar negeri"
indikasi mencari keuntungan dgn cara tidak benar,batch : 1 of 48 row: 8,others,85%,"keuntungan, cara tidak benar, etika"
DM ybs pindah keluar kota (bali),batch : 1 of 48 row: 9,lokasi,90%,"pindah keluar kota, Bali, relokasi"
keluarga tidak mengijinkan ke Kristen,batch : 1 of 48 row: 10,others,80%,"keluarga, tidak mengijinkan, agama"
"Mutasi Pekerjaan ke kota lain, dan tertanam di Gereja lain",batch : 2 of 48 row: 1,lokasi,95%,"mutasi pekerjaan, kota lain, tertanam gereja lain"
"Katanya sudah tidak nyaman di date, pas saya tanyain tidak ada respon sama sekali lagi. Saya sendiri tidak tahu alasannya kenapa dia keluar dan ga nyaman",batch : 2 of 48 row: 2,tidak_ada_respon,85%,"tidak ada respon, tidak tahu alasan, keluar"
anak dari DL,batch : 2 of 48 row: 3,Admin,90%,"anak dari DL, data administrative"
anak dari DL,batch : 2 of 48 row: 4,Admin,90%,"anak dari DL, data administrative"
Sinta pilih keluar Date karena marah ditegur DL tidak boleh pendekatan dg suami orang,batch : 2 of 48 row: 5,alasan_DATE,88%,"tidak nyaman date, ditegur DL, keluar"
DF hanya cover DATE sementara saja,batch : 2 of 48 row: 6,Admin,92%,"cover sementara, administrative, temporary"
memilih tempat date lain untuk bertumbuh dan sudah hibernasi selama 9 bulan,batch : 2 of 48 row: 7,tertanam_di_gereja_lain,90%,"tempat date lain, bertumbuh, hibernasi"
