delete_reason,batch,Final label,Confidence,Keywords
"Bukan Date Member, hanya suami Date Member, tidak pernah datang date, tidak pernah berinteraksi dengan DM lain, tidak ada di grup date",batch : 1 of 48 row: 1,tidak_ada_respon,86%,"tidak pernah datang, tidak berinteraksi, tidak ada grup"
"Date member mengundurkan diri dari date, karena lokasi date dengan rumah yang jauh. Date member berencana mencari date yang baru, dengan menggunakan applikasi, karena suka lupa saat mau daftar date di campus.",batch : 1 of 48 row: 2,lokasi,97%,"lokasi jauh, cari date baru, rumah"
His working area move to Batam and will not available to join date,batch : 1 of 48 row: 3,lokasi,98%,"move Batam, working area, not available"
Working location are moving and will be looking date to more available area,batch : 1 of 48 row: 4,lokasi,96%,"moving location, available area, working"
Ingin mencoba tertanam di gereja local (Bandung),batch : 1 of 48 row: 5,tertanam_di_gereja_lain,93%,"gereja local, Bandung, tertanam"
Move to other church due to closer from where she stays. She already join the small group there.,batch : 1 of 48 row: 6,tertanam_di_gereja_lain,95%,"other church, small group, closer"
"Date Member mula mula, menikah dan ikut suami ke Singapore since maret 2020. namun karna kebutuhan ada komunitas dan masih online, saya ijinkan sampai hari ini. kontribusi juga sangat besar di Date, seharusnya sudah saya jadikan CT, namun keterbatasan domisili saja. saat ini Date sudah hybrid. jadi diberikan pengertian agar tertanam di gereja domisili di singapore bersama gereja suami.",batch : 1 of 48 row: 7,lokasi,99%,"Singapore, domisili, suami"
"dikembalikan ke gereja domisili karna status saat ini di makasar. join pada saat pandemi dan menggunakan sarana online sebelumnya. di pertahankan yang seharusnya hanya sebulan, namun melihat kebutuhan Olyvia Gosal saat itu, saya pertahankan sampai saat ini ?",batch : 1 of 48 row: 8,lokasi,94%,"makasar, gereja domisili, online"
Dater dan keluarga memutuskan pindah ke gereja dekat rumah,batch : 1 of 48 row: 9,tertanam_di_gereja_lain,97%,"gereja dekat rumah, keluarga, pindah"
dater dan keluarga memutuskan pindah ke gereja dekat rumah,batch : 1 of 48 row: 10,tertanam_di_gereja_lain,97%,"gereja dekat rumah, keluarga, pindah"
pindah date di Jakarta yang sesuai,batch : 2 of 48 row: 1,alasan_DATE,96%,"pindah date, Jakarta, sesuai"
pindah ke Bojonegoro jadi jauh,batch : 2 of 48 row: 2,lokasi,99%,"pindah, Bojonegoro, jauh"
pindah area ke Bojonegoro jadi jauh,batch : 2 of 48 row: 3,lokasi,99%,"pindah area, Bojonegoro, jauh"
Non aktif dulu karena kesibukan atas request DM,batch : 2 of 48 row: 4,waktu_tidak_sesuai,88%,"kesibukan, non aktif, request DM"
"Ybs tidak bs join date dikarenakan waktu, disarankan untuk pineah date tp blm memantapkan hati",batch : 2 of 48 row: 5,waktu_tidak_sesuai,95%,"waktu, tidak bs join, pindah date"
Atika menginformasikan kalau dia sudah tidak beribadah lagi di JPCC dan memilih mengikuti komunitas rohani di gereja lain. Ybs jg sudah pamit dari group wa date secara baik2.,batch : 2 of 48 row: 6,tertanam_di_gereja_lain,99%,"gereja lain, JPCC, komunitas rohani"
lagi ga sempet ikut dateeeeeeeee,batch : 2 of 48 row: 7,waktu_tidak_sesuai,97%,"ga sempet, ikut date, sibuk"
sedang tidak sempat ikut date katanyaa,batch : 2 of 48 row: 8,waktu_tidak_sesuai,96%,"tidak sempat, ikut date, waktu"
"Pindah ke Texas, USA utk berkeluarga.",batch : 2 of 48 row: 9,lokasi,98%,"Texas, USA, berkeluarga"
DM tidak aktif dan mengambil keputusan untuk tidak mau ikut date lagi.,batch : 2 of 48 row: 10,tidak_ada_respon,90%,"tidak aktif, tidak mau ikut, DM"
Belum selesai probation yang ditentukan,batch : 3 of 48 row: 1,Admin,96%,"probation, belum selesai, ditentukan"
pindah gereja bersama dengan keluarganya,batch : 3 of 48 row: 2,tertanam_di_gereja_lain,95%,"pindah gereja, keluarga, gereja"
Retta sementara fokus pada perkuliahannya di luar kota. belum bisa fokus untuk bisa komitmen hadir di DATE.,batch : 3 of 48 row: 3,lokasi,94%,"perkuliahan, luar kota, DATE"
"pindah BSD gereja jpcc alsut, akan cari date deket sana",batch : 3 of 48 row: 4,lokasi,97%,"pindah BSD, Alsut, cari date"
kehilangan komunikasi tidak bisa dikontak lagi,batch : 3 of 48 row: 5,tidak_ada_respon,98%,"tidak bisa dikontak, kehilangan komunikasi, kontak"
menemukan date yg lebih cocok di komunitas lain,batch : 3 of 48 row: 6,alasan_DATE,93%,"date cocok, komunitas lain, lebih cocok"
menemukan date yg lebih cocok di komunitas lain,batch : 3 of 48 row: 7,alasan_DATE,93%,"date cocok, komunitas lain, lebih cocok"
mau mencari date yang baru di Jakarta Barat,batch : 3 of 48 row: 8,lokasi,90%,"Jakarta Barat, date baru, mencari"
Maw mencoba date baru di tempat lain,batch : 3 of 48 row: 9,alasan_DATE,88%,"date baru, tempat lain, mencoba"
sudah tidak aktif selama beberapa bulan dan sedang sibuk utk saat ini.,batch : 3 of 48 row: 10,waktu_tidak_sesuai,84%,"tidak aktif, sibuk, beberapa bulan"
"Sudah lama tidak aktif, dan DM request untuk keluar",batch : 4 of 48 row: 1,tidak_ada_respon,78%,"tidak aktif, request keluar, DM"
Maria saat ini sudah pindah domisili ke luar negeri,batch : 4 of 48 row: 2,lokasi,98%,"pindah domisili, luar negeri, Maria"
