delete_reason,batch,Final label,Confidence,Keywords
sorry ini harusnya jd New Comer dulu,batch : 1 of 48 row: 1,Admin,95%,"New Comer, administrative, status"
"sudah pindah rumah & gereja ke Bandung, jadi tidak pernah datang lagi",batch : 1 of 48 row: 2,lokasi,98%,"pindah rumah, Bandung, relokasi"
Pindah gereja,batch : 1 of 48 row: 3,tertanam_di_gereja_lain,90%,"pindah gereja, gereja lain"
Tertanam di gereja lain,batch : 1 of 48 row: 4,tertanam_di_gereja_lain,95%,"tertanam, gereja lain"
meninggal dunia,batch : 1 of 48 row: 5,others,98%,"meninggal dunia, wafat"
Terdaftar pada 2 akun yang berbeda. Member ingin akun ini diremove dari data DATE,batch : 1 of 48 row: 6,Admin,92%,"duplikat akun, remove data, administrative"
pindah ke makasar,batch : 1 of 48 row: 7,lokasi,98%,"pindah, Makasar, relokasi"
DATE Member mengundurkan diri,batch : 1 of 48 row: 8,alasan_DATE,85%,"mengundurkan diri, DATE member"
pindah ke gereja khatolik setelah menikah,batch : 1 of 48 row: 9,perbedaan_musim_kehidupan,92%,"menikah, gereja katholik, perubahan fase"
"setelah menikah, Linda bergereja di tempat suami",batch : 1 of 48 row: 10,perbedaan_musim_kehidupan,90%,"menikah, gereja suami, perubahan fase"
"date akan dibubarkan, sudah diberi waktu untuk mencari date baru",batch : 2 of 48 row: 1,alasan_DATE,95%,"DATE dibubarkan, cari DATE baru, keputusan DATE"
pasangan Wailan dan Villi terakhir hadir di bulan Januari/Februari dan hingga bbrp hari yl sdh menyatakan permisi untuk pindah DATE.,batch : 2 of 48 row: 2,alasan_DATE,90%,"pindah DATE, permisi, DATE baru"
"Sulit hadir sesuai waktu DATE krn letak kantor yang jauh dan sudah suggest ybs untuk miove ke date yang deket kantor,sudah lebih dr 3 bulan juga tidak datang date",batch : 2 of 48 row: 3,waktu_tidak_sesuai,85%,"sulit hadir, kantor jauh, jadwal DATE"
pindah gereja,batch : 2 of 48 row: 4,tertanam_di_gereja_lain,95%,"pindah gereja, gereja lain"
pindah gereja,batch : 2 of 48 row: 5,tertanam_di_gereja_lain,95%,"pindah gereja, gereja lain"
Sudah menikah dan ikut suami tertanam di gereja lain,batch : 2 of 48 row: 6,perbedaan_musim_kehidupan,90%,"menikah, ikut suami, gereja lain"
date member pindah ke luar negeri,batch : 2 of 48 row: 7,lokasi,95%,"pindah luar negeri, relokasi, DATE member"
"sudah 10 bulan Juni cuti dari date, dg alasan ingin menyendiri setelah putus dg kekasih. sudah didekati dan 1on 1 dan diberi waktu cuti tak terbatas, tp akhirnya Juni minta keluar date",batch : 2 of 48 row: 8,others,70%,"putus kekasih, cuti DATE, alasan personal"
Calon DM tidak memberikan alasan kenapa tidak bisa bergabung,batch : 2 of 48 row: 9,tidak_ada_respon,75%,"tidak memberikan alasan, tidak komunikasi, calon DM"
