delete_reason,batch,Final label,Confidence,Keywords
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 1,alasan_DATE,90%,"date, lokasi, waktu"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 2,alasan_DATE,90%,"date, lokasi, waktu"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 3,alasan_DATE,90%,"date, lokasi, waktu"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 4,alasan_DATE,90%,"date, lokasi, waktu"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 5,alasan_DATE,90%,"date, lokasi, waktu"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 6,alasan_DATE,90%,"date, lokasi, waktu"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 7,alasan_DATE,90%,"date, lokasi, waktu"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 8,alasan_DATE,90%,"date, lokasi, waktu"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 9,alasan_DATE,90%,"date, lokasi, waktu"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 1 of 25 row: 10,alasan_DATE,90%,"date, lokasi, waktu"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 1,alasan_DATE,90%,"date, lokasi, waktunya"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 2,alasan_DATE,90%,"date, lokasi, waktunya"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 3,alasan_DATE,90%,"date, lokasi, waktunya"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 4,alasan_DATE,90%,"date, lokasi, waktunya"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 5,alasan_DATE,90%,"date, lokasi, waktunya"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 6,alasan_DATE,90%,"date, lokasi, waktunya"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 7,alasan_DATE,90%,"date, lokasi, waktunya"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 8,alasan_DATE,90%,"date, lokasi, waktunya"
Mencari date yang lokasi dan waktunya lebih sesuai,batch : 2 of 25 row: 9,alasan_DATE,90%,"date, lokasi, waktunya"
