delete_reason,batch,Final label,Confidence,Keywords
sorry ini harusnya jd New Comer dulu,batch : 1 of 48 row: 1,Admin,100%,"New Comer, kesalahan, administratif"
"sudah pindah rumah & gereja ke Bandung, jadi tidak pernah datang lagi",batch : 1 of 48 row: 2,lokasi,100%,"pindah, rumah, gereja"
Pindah gereja,batch : 1 of 48 row: 3,lokasi,100%,"pindah, gereja"
Tertanam di gereja lain,batch : 1 of 48 row: 4,tertanam_di_gereja_lain,100%,"tertanam, gereja, lain"
meninggal dunia,batch : 1 of 48 row: 5,others,100%,"meninggal, dunia"
Terdaftar pada 2 akun yang berbeda. Member ingin akun ini diremove dari data DATE,batch : 1 of 48 row: 6,Admin,100%,"akun, berbeda, remove"
pindah ke makasar,batch : 1 of 48 row: 7,lokasi,100%,"pindah, makasar"
DATE Member mengundurkan diri,batch : 1 of 48 row: 8,alasan_DATE,100%,"DATE, mengundurkan, diri"
pindah ke gereja khatolik setelah menikah,batch : 1 of 48 row: 9,perbedaan_musim_kehidupan,100%,"menikah, pindah, gereja"
"setelah menikah, Linda bergereja di tempat suami",batch : 1 of 48 row: 10,perbedaan_musim_kehidupan,100%,"menikah, bergereja, suami"
"date akan dibubarkan, sudah diberi waktu untuk mencari date baru",batch : 2 of 48 row: 1,alasan_DATE,100%,"date, dibubarkan, baru"
pasangan Wailan dan Villi terakhir hadir di bulan Januari/Februari dan hingga bbrp hari yl sdh menyatakan permisi untuk pindah DATE.,batch : 2 of 48 row: 2,alasan_DATE,100%,"date, pindah, permisi"
"Sulit hadir sesuai waktu DATE krn letak kantor yang jauh dan sudah suggest ybs untuk miove ke date yang deket kantor,sudah lebih dr 3 bulan juga tidak datang date",batch : 2 of 48 row: 3,waktu_tidak_sesuai,100%,"sulit, hadir, jauh"
pindah gereja,batch : 2 of 48 row: 4,tertanam_di_gereja_lain,100%,"pindah, gereja"
pindah gereja,batch : 2 of 48 row: 5,tertanam_di_gereja_lain,100%,"pindah, gereja"
Sudah menikah dan ikut suami tertanam di gereja lain,batch : 2 of 48 row: 6,perbedaan_musim_kehidupan,100%,"menikah, suami, gereja"
date member pindah ke luar negeri,batch : 2 of 48 row: 7,lokasi,100%,"pindah, luar, negeri"
"sudah 10 bulan Juni cuti dari date, dg alasan ingin menyendiri setelah putus dg kekasih. sudah didekati dan 1on 1 dan diberi waktu cuti tak terbatas, tp akhirnya Juni minta keluar date",batch : 2 of 48 row: 8,others,100%,"cuti, putus, keluar"
Calon DM tidak memberikan alasan kenapa tidak bisa bergabung,batch : 2 of 48 row: 9,others,100%,"tidak, alasan, bergabung"
sudah pindah tempat tinggal,batch : 2 of 48 row: 10,lokasi,100%,"pindah, tempat, tinggal"
Date Member Pindah ke Luar Negri,batch : 3 of 48 row: 1,lokasi,100%,"pindah, luar, negri"
"tempat tinggal jauh, jadi sulit untuk datang.",batch : 3 of 48 row: 2,lokasi,100%,"jauh, tinggal, datang"
tertanam di gereja lain,batch : 3 of 48 row: 3,tertanam_di_gereja_lain,100%,"gereja, lain, tertanam"
fokus ibadah di gereja calon suami,batch : 3 of 48 row: 4,tertanam_di_gereja_lain,100%,"ibadah, gereja, calon"
Join manual ke sgm 20235,batch : 3 of 48 row: 5,Admin,100%,"join, manual, sgm"
Ditugaskan penempatan dokter di luar kota,batch : 3 of 48 row: 6,lokasi,100%,"dokter, luar, kota"
fase hidup lagi berbeda,batch : 3 of 48 row: 7,perbedaan_musim_kehidupan,100%,"fase, hidup, berbeda"
recently got married and decided to be planted in other Church following her husband,batch : 3 of 48 row: 8,perbedaan_musim_kehidupan,100%,"menikah, gereja, suami"
DM butuh waktu lama untuk kembali hadir di Date,batch : 3 of 48 row: 9,tidak_ada_respon,100%,"dm, lama, kembali"
"sekarang bekerja di daerah senayan dan selalu pulang malam, membuat tidak mungkin untuk ikut DATE di saat-saat ini.",batch : 3 of 48 row: 10,waktu_tidak_sesuai,100%,"pulang, malam, date"
for good ke luar negeri,batch : 4 of 48 row: 1,lokasi,100%,"luar negeri, for good, pindah"
for good ke luar negeri,batch : 4 of 48 row: 2,lokasi,100%,"luar negeri, for good, pindah"
ingin ambil waktu sendiri dulu,batch : 4 of 48 row: 3,others,80%,"waktu sendiri, ambil waktu, dulu"
mau pendataan ulang,batch : 4 of 48 row: 4,Admin,90%,"pendataan ulang, mau, baru"
Waktu Sudah sulit hadir date onsite karena sudah menikah dan ada anak.DL menyarankan untuk move ke date married couple,batch : 4 of 48 row: 5,perbedaan_musim_kehidupan,100%,"menikah, anak, move"
Berpulang kerumah Bapa pada tgl 23 okt 2025,batch : 4 of 48 row: 6,others,100%,"berpulang, kerumah Bapa, wafat"
4 kali pertemuan berturut2 tdk hadir,batch : 4 of 48 row: 7,tidak_ada_respon,100%,"tdk hadir, pertemuan, berturut2"
sudah pindah ke luar kota (menado) for good,batch : 4 of 48 row: 8,lokasi,100%,"pindah, luar kota, for good"
"pindah kerja & tpt tinggal ke PIK, sdh >3 bln tdk hdr & aktiv di date, sdh diminta mencari date baru namun sibuk kerja blm melakukan hal tsb s/d di remove.",batch : 4 of 48 row: 9,lokasi,100%,"pindah kerja, tpt tinggal, pindah"
cari date lain,batch : 4 of 48 row: 10,tertanam_di_gereja_lain,80%,"cari date, date lain, lain"
"Usernya sudah tidak aktif, dan diganti dengan user baru",batch : 5 of 48 row: 1,Admin,90%,"tidak aktif, diganti, user"
mau pindah ke kuningan 18 yang dekat kantor.,batch : 5 of 48 row: 2,lokasi,95%,"pindah, kuningan, kantor"
Sudah dipanggil Tuhan 3 minggu lalu,batch : 5 of 48 row: 3,others,100%,"sudah, dipanggil, Tuhan"
telah kembali ke Surga,batch : 5 of 48 row: 4,others,100%,"telah, kembali, Surga"
"Tidak bisa ikut date lagi, dikarenakan pekerjaan",batch : 5 of 48 row: 5,waktu_tidak_sesuai,90%,"tidak bisa, pekerjaan, date"
"sekarang bergereja di gereja lain, bersama orang tua",batch : 5 of 48 row: 6,tertanam_di_gereja_lain,95%,"bergereja, gereja lain, orang tua"
ada dua email,batch : 5 of 48 row: 7,Admin,80%,"ada, dua, email"
proses pindah ke Date lain krn pindah rumah,batch : 5 of 48 row: 8,alasan_DATE,90%,"pindah, date, rumah"
pindah date couple,batch : 5 of 48 row: 9,alasan_DATE,85%,"pindah, date, couple"
double account,batch : 5 of 48 row: 10,Admin,95%,"double, account"
pindah ke Aussie to for good,batch : 6 of 48 row: 1,lokasi,100%,"pindah, Aussie"
"setelah menikah, masih belum menentukan gereja untuk tertanam",batch : 6 of 48 row: 2,perbedaan_musim_kehidupan,100%,"menikah, gereja"
menikah dan pindah negara,batch : 6 of 48 row: 3,lokasi,100%,"menikah, pindah"
Vacum dahulu,batch : 6 of 48 row: 4,others,0%,Vacum
Vacum dahulu,batch : 6 of 48 row: 5,others,0%,Vacum
"Semenjak pindah rumah ke Pantai Mutiara lokasi menuju gereja maupun date menjadi tantangan bagi eunike dan alvin, sehingga mereka dengan penuh kerelaan hati memutuskan pindah gereja  Kemudian setelah berapa waktu mencoba, akhirnya memutuskan untuk berjemaat di GBI gilgal PIK (ps. Juan Mogi)o",batch : 6 of 48 row: 6,lokasi,100%,"pindah, gereja"
Pindah date suvarna 3,batch : 6 of 48 row: 7,alasan_DATE,100%,"pindah, DATE"
Pindah date suvarna 3,batch : 6 of 48 row: 8,alasan_DATE,100%,"pindah, DATE"
pindah ke Pontianak,batch : 6 of 48 row: 9,lokasi,100%,"pindah, Pontianak"
Transfer ke DATE Gunawarman 2,batch : 6 of 48 row: 10,alasan_DATE,100%,"Transfer, DATE"
waktu yg tidak sesuai serta lokasi yang sulit dicapai serta dilakukan atas permintaan sendiri,batch : 7 of 48 row: 1,waktu_tidak_sesuai,80%,"waktu, lokasi, sesuai"
pindah keluar kota bersama suami,batch : 7 of 48 row: 2,lokasi,90%,"pindah, kota, suami"
"date akan dibubarkan, berpindah ke date lain",batch : 7 of 48 row: 3,alasan_DATE,95%,"date, dibubarkan, berpindah"
pindah gereja,batch : 7 of 48 row: 4,tertanam_di_gereja_lain,85%,"pindah, gereja, lain"
mau pindah ke gereja lain,batch : 7 of 48 row: 5,tertanam_di_gereja_lain,80%,"pindah, gereja, lain"
sementara,batch : 7 of 48 row: 6,others,50%,"sementara, tidak, jelas"
sementara,batch : 7 of 48 row: 7,others,50%,"sementara, tidak, jelas"
pindah ke gereja Lain (Gilgal),batch : 7 of 48 row: 8,tertanam_di_gereja_lain,90%,"pindah, gereja, lain"
sudah bergabung di Date yang baru.,batch : 7 of 48 row: 9,alasan_DATE,90%,"date, baru, bergabung"
sejak diterima juli 2025 belum pernah hadir dan atas permintaan sendiri mau keluar dulu karena pulang kampung hingga Desember 2025,batch : 7 of 48 row: 10,lokasi,80%,"pindah, kampung, desember"
DM akan pindah ke Bali sehingga tidak bisa date lagi,batch : 8 of 48 row: 1,lokasi,100%,"pindah, Bali, lokasi"
DM akan pindah ke Bali sehingga tidak bisa Date lagi,batch : 8 of 48 row: 2,lokasi,100%,"pindah, Bali, lokasi"
"Perbedaan Musim kehidupan, Pekerjaan dan Lokasi",batch : 8 of 48 row: 3,perbedaan_musim_kehidupan,100%,"musim, kehidupan, pekerjaan"
sudah meninggal dunia,batch : 8 of 48 row: 4,others,100%,"meninggal, dunia, wafat"
Pindah ke luar negeri.,batch : 8 of 48 row: 5,lokasi,100%,"pindah, luar, negeri"
Pindah ke luar negeri.,batch : 8 of 48 row: 6,lokasi,100%,"pindah, luar, negeri"
Mengganti akun,batch : 8 of 48 row: 7,others,100%,"akun, ganti, baru"
,batch : 8 of 48 row: 8,others,0%,
,batch : 8 of 48 row: 9,others,0%,
balik kampung untuk selamanya,batch : 8 of 48 row: 10,lokasi,100%,"balik, kampung, selamanya"
Sudah meninggal dunia,batch : 9 of 48 row: 1,others,100%,"meninggal, dunia, wafat"
Pindah ke DATE gading serpong yg lbh deket ke rumahnya,batch : 9 of 48 row: 2,alasan_DATE,90%,"pindah, DATE, deket"
pindah kerja dan menetap di Korea Selatan..,batch : 9 of 48 row: 3,lokasi,100%,"pindah, kerja, Korea"
DL Temporary untuk DL yang resign,batch : 9 of 48 row: 4,Admin,100%,"DL, resign, Temporary"
kembali ke gereja yang lama untuk membantu mengelola ibadah youth,batch : 9 of 48 row: 5,tertanam_di_gereja_lain,100%,"kembali, gereja, lama"
kembali ke gereja yang lama untuk membantu mengelola ibadah youth,batch : 9 of 48 row: 6,tertanam_di_gereja_lain,100%,"kembali, gereja, lama"
kembali ke gereja yg lama untuk membantu mengelola ibadah youth,batch : 9 of 48 row: 7,tertanam_di_gereja_lain,100%,"kembali, gereja, lama"
blum bisa aktif,batch : 9 of 48 row: 8,tidak_ada_respon,80%,"blum, bisa, aktif"
DF pengganti DL sementara,batch : 9 of 48 row: 9,Admin,100%,"DF, pengganti, DL"
Melahirkan anak dan sedang focus mengurus anak.Tidak bisa join dulu untuk sementara.,batch : 9 of 48 row: 10,perbedaan_musim_kehidupan,100%,"melahirkan, anak, focus"
Ingin mencari Date yang usianya tidak jauh berbeda.,batch : 10 of 48 row: 1,alasan_DATE,80%,"Date, usia, berbeda"
pindah ke BSD99,batch : 10 of 48 row: 2,lokasi,100%,"pindah, BSD99"
pindah ke BSD99,batch : 10 of 48 row: 3,lokasi,100%,"pindah, BSD99"
Filia pindah karena penempatan kerja ke Bali,batch : 10 of 48 row: 4,lokasi,100%,"pindah, Bali"
pindah ke Australia,batch : 10 of 48 row: 5,lokasi,100%,"pindah, Australia"
mencari DATE yang lebih terjangkau dari tempat kerja,batch : 10 of 48 row: 6,alasan_DATE,80%,"DATE, terjangkau"
pindah ke luar negeri,batch : 10 of 48 row: 7,lokasi,100%,"pindah, luar negeri"
Karena belum moment yg tepat untuk diterima di date,batch : 10 of 48 row: 8,others,60%,"moment, tepat"
"karena kepenuhan (jadi hanya pasangannya saja yg di masukin di apps, karena Nike yg war tiket) dan masih ada date member yang mau du transfer dari date lain.",batch : 10 of 48 row: 9,alasan_DATE,80%,"kepenuhan, DATE"
pindah date,batch : 10 of 48 row: 10,alasan_DATE,80%,"pindah, date"
melanjutkan studi S2 di UK,batch : 11 of 48 row: 1,lokasi,100%,"S2, UK, melanjutkan"
Abroad,batch : 11 of 48 row: 2,lokasi,100%,Abroad
kesibukan,batch : 11 of 48 row: 3,waktu_tidak_sesuai,100%,kesibukan
pindah keluar kota,batch : 11 of 48 row: 4,lokasi,100%,"pindah, kota"
sudah tidak hadir,batch : 11 of 48 row: 5,tidak_ada_respon,100%,"tidak, hadir"
Other,batch : 11 of 48 row: 6,others,100%,Other
Other,batch : 11 of 48 row: 7,others,100%,Other
pindah Date Martimbang 2,batch : 11 of 48 row: 8,alasan_DATE,100%,"pindah, Date"
sevenarnya Myrna bukan jemaat JPCC dan dia ingin kembali ke gereja asalnya sekaligus berkomunitas di sana,batch : 11 of 48 row: 9,tertanam_di_gereja_lain,100%,"gereja, asalnya"
sistem tidak bisa transfer DM. sudah komunikasi dgn DL barunya DM,batch : 11 of 48 row: 10,Admin,100%,"sistem, transfer"
"Angel pindah ke NY, USA untuk melanjutkan S2",batch : 12 of 48 row: 1,lokasi,100%,"pindah, NY, USA"
melanjutkan study S2 ke Taiwan,batch : 12 of 48 row: 2,lokasi,100%,"melanjutkan, S2, Taiwan"
sedang mencari date baru,batch : 12 of 48 row: 3,alasan_DATE,100%,"cari, date, baru"
sedang mencari date baru,batch : 12 of 48 row: 4,alasan_DATE,100%,"cari, date, baru"
di wakilkan istri,batch : 12 of 48 row: 5,perbedaan_musim_kehidupan,100%,"wakilkan, istri"
di wakilkan suami,batch : 12 of 48 row: 6,perbedaan_musim_kehidupan,100%,"wakilkan, suami"
sudah coba transfer ke BSD 36 tp tdk muncul di apps. Jd data DM akan di remove & request baru di BSD 36,batch : 12 of 48 row: 7,Admin,100%,"transfer, BSD, remove"
salah approve,batch : 12 of 48 row: 8,Admin,100%,"salah, approve"
tidak pernah hadir di date lebih dari 6 bulan,batch : 12 of 48 row: 9,tidak_ada_respon,100%,"tidak, hadir, bulan"
belum memutuskan ke date (baru istri yg memutuskan ke date),batch : 12 of 48 row: 10,others,100%,"belum, memutuskan, date"
"Suaminya aktif melayani di gereja lain dan dia pun masih terlibat aktif di sana.  Di sisi lain, dia sudah tidak pernah hadir date, dan saat dihubungi berulang kali (via wa, telepon, dan email) tidak merespon sama sekali.",batch : 13 of 48 row: 1,tertanam_di_gereja_lain,90%,"gereja lain, tidak hadir, tidak merespon"
Gracia wiroreno ingin tertanam di gereja lain,batch : 13 of 48 row: 2,tertanam_di_gereja_lain,100%,"gereja lain, tertanam"
menikah dan pindah gereja,batch : 13 of 48 row: 3,perbedaan_musim_kehidupan,100%,"menikah, pindah gereja"
ingin mencari date lain,batch : 13 of 48 row: 4,alasan_DATE,90%,cari date lain
sudah pindah date lain,batch : 13 of 48 row: 5,alasan_DATE,100%,pindah date lain
Telah meninggal dunia pada tgl 5 Juli 2025,batch : 13 of 48 row: 6,others,100%,"meninggal, wafat"
mencari DATE lain,batch : 13 of 48 row: 7,alasan_DATE,90%,cari date lain
passed away,batch : 13 of 48 row: 8,others,100%,"wafat, passed away"
Move to Manado for good and entering new season of life. tapi dia tetap bisa join online date.,batch : 13 of 48 row: 9,perbedaan_musim_kehidupan,90%,"pindah, musim kehidupan"
pindah kerja ke kota lain,batch : 13 of 48 row: 10,lokasi,100%,"pindah kerja, kota lain"
sudah kembali ke kota asal,batch : 14 of 48 row: 1,lokasi,100%,"kembali, kota, asal"
rencana pindah date yg dekat rumah tp blom ketemu,batch : 14 of 48 row: 2,alasan_DATE,80%,"pindah, date, dekat"
rencana Pindah date yg dekat rumah tp blom ketemu yg cocok,batch : 14 of 48 row: 3,alasan_DATE,80%,"pindah, date, dekat"
"Ada kesalahan saat ada request masuk, saya tekan 2 kali, jadi langsung probation, Felicia sedang mencari Date yg umurnya lebih sesuai",batch : 14 of 48 row: 4,Admin,90%,"kesalahan, request, probation"
ingin pindah date,batch : 14 of 48 row: 5,alasan_DATE,70%,"pindah, date"
telah meninggal dunia,batch : 14 of 48 row: 6,others,100%,"meninggal, dunia"
testing,batch : 14 of 48 row: 7,others,0%,testing
Tempat tinggal pindah Ke Manila karena pekerjaan.,batch : 14 of 48 row: 8,lokasi,100%,"pindah, Manila, pekerjaan"
Tempat tinggal pindah ke Manila karena pekerjaan.,batch : 14 of 48 row: 9,lokasi,100%,"pindah, Manila, pekerjaan"
"pindah rumah, mau cari date di daerah BSD",batch : 14 of 48 row: 10,lokasi,90%,"pindah, rumah, BSD"
"pindah rumah, mau pindah date ke daerah BSD",batch : 15 of 48 row: 1,lokasi,90%,"pindah, rumah, BSD"
akun testing skybridge,batch : 15 of 48 row: 2,Admin,100%,"akun, testing, skybridge"
Passed away,batch : 15 of 48 row: 3,others,100%,"Passed, away, wafat"
"perlu waktu untuk menata prioritas, agar ke depan dapat ikut date dengan konsisten",batch : 15 of 48 row: 4,perbedaan_musim_kehidupan,80%,"prioritas, konsisten, menata"
"perlu waktu untuk menata prioritas saat ini, agar kedepan bisa tetap ikut date.",batch : 15 of 48 row: 5,perbedaan_musim_kehidupan,80%,"prioritas, menata, kedepan"
tidak aktif dalam DATE,batch : 15 of 48 row: 6,tidak_ada_respon,70%,"tidak, aktif, DATE"
ingin fokus karir.,batch : 15 of 48 row: 7,perbedaan_musim_kehidupan,90%,"fokus, karir, ingin"
Bekerja dan tinggal di Australia.,batch : 15 of 48 row: 8,lokasi,100%,"Australia, Bekerja, tinggal"
Sudah tidak aktif dan memutuskan ingin cuti dari date,batch : 15 of 48 row: 9,alasan_DATE,80%,"cuti, DATE, tidak"
date multiplikasi,batch : 15 of 48 row: 10,alasan_DATE,90%,"date, multiplikasi, DATE"
temporary,batch : 16 of 48 row: 1,others,100%,temporary
temporary,batch : 16 of 48 row: 2,others,100%,temporary
