delete_reason,Human Annotation 
sorry ini harusnya jd New Comer dulu,Admin
"sudah pindah rumah & gereja ke Bandung, jadi tidak pernah datang lagi",lokasi
Pindah gereja,tertanam_di_gereja_lain
Tertanam di gereja lain,tertanam_di_gereja_lain
meninggal dunia,others
Terdaftar pada 2 akun yang berbeda. Member ingin akun ini diremove dari data DATE,Admin
pindah ke makasar,lokasi
DATE Member mengundurkan diri,others
pindah ke gereja khatolik setelah menikah,tertanam_di_gereja_lain
"setelah menikah, Linda bergereja di tempat suami",tertanam_di_gereja_lain
"date akan dibubarkan, sudah diberi waktu untuk mencari date baru",alasan_date
pasangan Wailan dan Villi terakhir hadir di bulan Januari/Februari dan hingga bbrp hari yl sdh menyatakan permisi untuk pindah DATE.,alasan_date
"Sulit hadir sesuai waktu DATE krn letak kantor yang jauh dan sudah suggest ybs untuk miove ke date yang deket kantor,sudah lebih dr 3 bulan juga tidak datang date",lokasi
pindah gereja,tertanam_di_gereja_lain
pindah gereja,tertanam_di_gereja_lain
Sudah menikah dan ikut suami tertanam di gereja lain,tertanam_di_gereja_lain
date member pindah ke luar negeri,lokasi
"sudah 10 bulan Juni cuti dari date, dg alasan ingin menyendiri setelah putus dg kekasih. sudah didekati dan 1on 1 dan diberi waktu cuti tak terbatas, tp akhirnya Juni minta keluar date",tidak_ada_respon
Calon DM tidak memberikan alasan kenapa tidak bisa bergabung,tidak_ada_respon
sudah pindah tempat tinggal,lokasi
Date Member Pindah ke Luar Negri,lokasi
"tempat tinggal jauh, jadi sulit untuk datang.",lokasi
tertanam di gereja lain,tertanam_di_gereja_lain
fokus ibadah di gereja calon suami,tertanam_di_gereja_lain
Join manual ke sgm 20235,others
Ditugaskan penempatan dokter di luar kota,perbedaan_musim_kehidupan 
fase hidup lagi berbeda,perbedaan_musim_kehidupan 
recently got married and decided to be planted in other Church following her husband,tertanam_di_gereja_lain
DM butuh waktu lama untuk kembali hadir di Date,tidak_ada_respon
"sekarang bekerja di daerah senayan dan selalu pulang malam, membuat tidak mungkin untuk ikut DATE di saat-saat ini.",waktu_tidak_sesuai
for good ke luar negeri,lokasi
for good ke luar negeri,lokasi
ingin ambil waktu sendiri dulu,others
mau pendataan ulang,Admin
Waktu Sudah sulit hadir date onsite karena sudah menikah dan ada anak.DL menyarankan untuk move ke date married couple,alasan_date
Berpulang kerumah Bapa pada tgl 23 okt 2025,others
4 kali pertemuan berturut2 tdk hadir,tidak_ada_respon
sudah pindah ke luar kota (menado) for good,lokasi
"pindah kerja & tpt tinggal ke PIK, sdh >3 bln tdk hdr & aktiv di date, sdh diminta mencari date baru namun sibuk kerja blm melakukan hal tsb s/d di remove.",lokasi
cari date lain,alasan_date
"Usernya sudah tidak aktif, dan diganti dengan user baru",tidak_ada_respon
mau pindah ke kuningan 18 yang dekat kantor.,lokasi
Sudah dipanggil Tuhan 3 minggu lalu,others
telah kembali ke Surga,others
"Tidak bisa ikut date lagi, dikarenakan pekerjaan",perbedaan_musim_kehidupan 
"sekarang bergereja di gereja lain, bersama orang tua",tertanam_di_gereja_lain
ada dua email,Admin
proses pindah ke Date lain krn pindah rumah,lokasi
pindah date couple,alasan_date
double account,Admin
pindah ke Aussie to for good,lokasi
"setelah menikah, masih belum menentukan gereja untuk tertanam",others
menikah dan pindah negara,lokasi
Vacum dahulu,others
Vacum dahulu,others
"Semenjak pindah rumah ke Pantai Mutiara lokasi menuju gereja maupun date menjadi tantangan bagi eunike dan alvin, sehingga mereka dengan penuh kerelaan hati memutuskan pindah gereja  Kemudian setelah berapa waktu mencoba, akhirnya memutuskan untuk berjemaat di GBI gilgal PIK (ps. Juan Mogi)o",tertanam_di_gereja_lain
Pindah date suvarna 3,alasan_date
Pindah date suvarna 3,alasan_date
pindah ke Pontianak,lokasi
Transfer ke DATE Gunawarman 2,alasan_date
waktu yg tidak sesuai serta lokasi yang sulit dicapai serta dilakukan atas permintaan sendiri,waktu_tidak_sesuai
pindah keluar kota bersama suami,lokasi
"date akan dibubarkan, berpindah ke date lain",alasan_date
pindah gereja,tertanam_di_gereja_lain
mau pindah ke gereja lain,tertanam_di_gereja_lain
sementara,others
sementara,others
pindah ke gereja Lain (Gilgal),tertanam_di_gereja_lain
sudah bergabung di Date yang baru.,alasan_date
sejak diterima juli 2025 belum pernah hadir dan atas permintaan sendiri mau keluar dulu karena pulang kampung hingga Desember 2025,lokasi
DM akan pindah ke Bali sehingga tidak bisa date lagi,lokasi
DM akan pindah ke Bali sehingga tidak bisa Date lagi,lokasi
"Perbedaan Musim kehidupan, Pekerjaan dan Lokasi",perbedaan_musim_kehidupan 
sudah meninggal dunia,others
Pindah ke luar negeri.,lokasi
Pindah ke luar negeri.,lokasi
Mengganti akun,Admin
NA,others
NA,others
balik kampung untuk selamanya,lokasi
Sudah meninggal dunia,others
Pindah ke DATE gading serpong yg lbh deket ke rumahnya,alasan_date
pindah kerja dan menetap di Korea Selatan..,lokasi
DL Temporary untuk DL yang resign,alasan_date
kembali ke gereja yang lama untuk membantu mengelola ibadah youth,tertanam_di_gereja_lain
kembali ke gereja yang lama untuk membantu mengelola ibadah youth,tertanam_di_gereja_lain
kembali ke gereja yg lama untuk membantu mengelola ibadah youth,tertanam_di_gereja_lain
blum bisa aktif,others
DF pengganti DL sementara,alasan_date
Melahirkan anak dan sedang focus mengurus anak.Tidak bisa join dulu untuk sementara.,perbedaan_musim_kehidupan 
Ingin mencari Date yang usianya tidak jauh berbeda.,alasan_date
pindah ke BSD99,alasan_date
pindah ke BSD99,alasan_date
Filia pindah karena penempatan kerja ke Bali,lokasi
pindah ke Australia,lokasi
mencari DATE yang lebih terjangkau dari tempat kerja,lokasi
pindah ke luar negeri,lokasi
Karena belum moment yg tepat untuk diterima di date,waktu_tidak_sesuai
"karena kepenuhan (jadi hanya pasangannya saja yg di masukin di apps, karena Nike yg war tiket) dan masih ada date member yang mau du transfer dari date lain.",alasan_date
pindah date,alasan_date
melanjutkan studi S2 di UK,perbedaan_musim_kehidupan 
Abroad,lokasi
kesibukan,others
pindah keluar kota,lokasi
sudah tidak hadir,tidak_ada_respon
Other,others
Other,others
pindah Date Martimbang 2,alasan_date
sevenarnya Myrna bukan jemaat JPCC dan dia ingin kembali ke gereja asalnya sekaligus berkomunitas di sana,tertanam_di_gereja_lain
sistem tidak bisa transfer DM. sudah komunikasi dgn DL barunya DM,alasan_date
"Angel pindah ke NY, USA untuk melanjutkan S2",lokasi
melanjutkan study S2 ke Taiwan,lokasi
sedang mencari date baru,alasan_date
sedang mencari date baru,alasan_date
di wakilkan istri,others
di wakilkan suami,others
sudah coba transfer ke BSD 36 tp tdk muncul di apps. Jd data DM akan di remove & request baru di BSD 36,alasan_date
salah approve,Admin
tidak pernah hadir di date lebih dari 6 bulan,tidak_ada_respon
belum memutuskan ke date (baru istri yg memutuskan ke date),others
"Suaminya aktif melayani di gereja lain dan dia pun masih terlibat aktif di sana. Di sisi lain, dia sudah tidak pernah hadir date, dan saat dihubungi berulang kali (via wa, telepon, dan email) tidak merespon sama sekali.",tertanam_di_gereja_lain
Gracia wiroreno ingin tertanam di gereja lain,tertanam_di_gereja_lain
menikah dan pindah gereja,tertanam_di_gereja_lain
ingin mencari date lain,alasan_date
sudah pindah date lain,alasan_date
Telah meninggal dunia pada tgl 5 Juli 2025,others
mencari DATE lain,alasan_date
passed away,others
Move to Manado for good and entering new season of life. tapi dia tetap bisa join online date.,lokasi
pindah kerja ke kota lain,lokasi
sudah kembali ke kota asal,lokasi
rencana pindah date yg dekat rumah tp blom ketemu,lokasi
rencana Pindah date yg dekat rumah tp blom ketemu yg cocok,lokasi
"Ada kesalahan saat ada request masuk, saya tekan 2 kali, jadi langsung probation, Felicia sedang mencari Date yg umurnya lebih sesuai",Admin
ingin pindah date,alasan_date
telah meninggal dunia,others
testing,Admin
Tempat tinggal pindah Ke Manila karena pekerjaan.,lokasi
Tempat tinggal pindah ke Manila karena pekerjaan.,lokasi
"pindah rumah, mau cari date di daerah BSD",lokasi
"pindah rumah, mau pindah date ke daerah BSD",lokasi
akun testing skybridge,Admin
Passed away,others
"perlu waktu untuk menata prioritas, agar ke depan dapat ikut date dengan konsisten",perbedaan_musim_kehidupan 
"perlu waktu untuk menata prioritas saat ini, agar kedepan bisa tetap ikut date.",perbedaan_musim_kehidupan 
tidak aktif dalam DATE,tidak_ada_respon
ingin fokus karir.,perbedaan_musim_kehidupan 
Bekerja dan tinggal di Australia.,lokasi
Sudah tidak aktif dan memutuskan ingin cuti dari date,tidak_ada_respon
date multiplikasi,alasan_date
temporary,others
temporary,others
Akan pindah date,alasan_date
Pindah keluar negeri,lokasi
ada training dr kntr selama 6bln jadi tidak bisa hadir untuk date,waktu_tidak_sesuai
moved to a different church,tertanam_di_gereja_lain
Bekerja di Medan dan pulang setahun sekali,lokasi
pindah ke gereja dekat rumah (GRII Depok) dan sudah tertanam di komsel disana.,tertanam_di_gereja_lain
sudah pindah ke luar kota di Papua,lokasi
"Ybs mau pindah date, sudah hampir 4 bulan trial di date lain ternyata katanya gak cocok dan sekarang lagi trial lagi di date lain lagi.",alasan_date
pindah ke luar negeri,lokasi
Bersama suami pindah ke married couple date,alasan_date
alasan yg sama dengan couple,alasan_date
"hampir tdk pernah hadir, tdk kooperatif, drama playing victim, mengadu domba DM dengan DL",tidak_ada_respon
Memutusakan bergereja di daerah dekat rumahnya,tertanam_di_gereja_lain
Pindah DATE karena DATE tidak aktif,alasan_date
ganti no,Admin
pindah ke gereja lain,tertanam_di_gereja_lain
Anien perlu waktu sementara untuk dapat menata schedulenya agar kedepan bisa ikut DATE lagi.,waktu_tidak_sesuai
